iteration	epoch	batch	time/img	loss_rgb	loss_normal	loss_laplacian	loss_perceptual	loss_uniform	loss_neighbor	loss_total	prop_head0	prop_head1	prop_head2	prop_head3	prop_head4	prop_head5
302000	118	1310	0.013354	0.008346	0.000341	0.000105	0.011336	0.000322	0.020300	0.040750	0.168300	0.166354	0.169027	0.164182	0.164330	0.167808
304000	119	740	0.013284	0.008305	0.000339	0.000106	0.011309	0.000326	0.020180	0.040564	0.166065	0.166151	0.167925	0.163799	0.165369	0.170691
306000	120	170	0.013255	0.008307	0.000345	0.000106	0.011293	0.000330	0.020160	0.040541	0.167284	0.165620	0.165440	0.164346	0.165002	0.172309
308000	120	2170	0.013261	0.008278	0.000339	0.000106	0.011262	0.000315	0.020140	0.040440	0.166031	0.165313	0.167094	0.165750	0.165156	0.170656
310000	121	1600	0.013339	0.008294	0.000337	0.000106	0.011271	0.000331	0.020273	0.040612	0.167643	0.165573	0.168011	0.162283	0.165924	0.170566
312000	122	1030	0.013266	0.008191	0.000341	0.000107	0.011199	0.000330	0.019864	0.040033	0.167276	0.165690	0.168316	0.162126	0.165651	0.170941
314000	123	460	0.013285	0.008248	0.000341	0.000107	0.011224	0.000320	0.019999	0.040238	0.167979	0.167182	0.167722	0.162298	0.165362	0.169456
316000	123	2460	0.013310	0.008272	0.000341	0.000107	0.011253	0.000328	0.019950	0.040251	0.164563	0.166125	0.167813	0.163344	0.167031	0.171125
318000	124	1890	0.013389	0.008197	0.000353	0.000107	0.011239	0.000319	0.019787	0.040002	0.165018	0.165299	0.167675	0.165065	0.168347	0.168597
320000	125	1320	0.013473	0.008179	0.000346	0.000107	0.011166	0.000328	0.019766	0.039893	0.166440	0.166307	0.167878	0.162306	0.165799	0.171269
322000	126	750	0.013287	0.008133	0.000339	0.000106	0.011132	0.000325	0.019663	0.039699	0.168605	0.163267	0.164674	0.166932	0.167190	0.169331
324000	127	180	0.013259	0.008113	0.000342	0.000106	0.011093	0.000327	0.019704	0.039685	0.166440	0.163361	0.168355	0.164150	0.168706	0.168988
326000	127	2180	0.013383	0.008104	0.000358	0.000108	0.011088	0.000327	0.019794	0.039779	0.167063	0.165594	0.166750	0.163125	0.165906	0.171563
328000	128	1610	0.013411	0.008201	0.000351	0.000107	0.011160	0.000331	0.019868	0.040019	0.166354	0.164002	0.168909	0.162080	0.167675	0.170980
330000	129	1040	0.013238	0.008102	0.000346	0.000107	0.011078	0.000323	0.019616	0.039571	0.166667	0.166284	0.167573	0.161587	0.167300	0.170590
332000	130	470	0.013315	0.008123	0.000346	0.000107	0.011101	0.000322	0.019724	0.039722	0.165807	0.167081	0.169746	0.162939	0.166776	0.167651
334000	130	2470	0.013183	0.008035	0.000347	0.000107	0.011011	0.000330	0.019723	0.039554	0.161688	0.167781	0.167187	0.164125	0.168000	0.171219
